,json_image_index,json_color,json_size,json_material,json_shape,json_pixel_coords,csv_area,csv_box,file,csv_color,csv_size,csv_material,csv_label
61,9,blue,large,rubber,cube,"[316, 105, 12.613685607910156]",6034.0,"[273, 66, 77, 78]",cache/1756274371854.png,,,,
62,9,brown,large,rubber,cylinder,"[143, 111, 12.286186218261719]",4998.0,"[108, 72, 64, 77]",cache/1756274371870.png,,,,
63,9,purple,small,metal,cube,"[236, 90, 14.540482521057129]",1157.0,"[218, 72, 33, 34]",cache/1756274371849.png,,,,
64,9,gray,small,metal,sphere,"[58, 139, 11.751296997070312]",1065.0,"[41, 122, 31, 33]",cache/1756274371875.png,,,,
65,9,gray,small,rubber,cube,"[85, 155, 11.048519134521484]",1872.0,"[63, 132, 42, 44]",cache/1756274371859.png,,,,
66,9,blue,small,metal,cube,"[288, 100, 13.880854606628418]",6034.0,"[273, 66, 77, 78]",cache/1756274371854.png,,,,
67,10,purple,small,metal,cube,"[221, 124, 11.815067291259766]",1744.0,"[199, 102, 40, 42]",cache/1756274554798.png,,,,
68,10,green,large,metal,cube,"[429, 130, 10.657512664794922]",9830.0,"[377, 83, 101, 96]",cache/1756274554790.png,,,,
69,10,green,large,metal,cube,"[74, 142, 10.144240379333496]",9507.0,"[26, 92, 93, 101]",cache/1756274554777.png,,,,
70,10,purple,small,rubber,cylinder,"[280, 175, 9.654659271240234]",2043.0,"[260, 149, 39, 51]",cache/1756274554803.png,,,,
71,10,green,large,metal,cube,"[309, 102, 12.078507423400879]",6986.0,"[267, 61, 83, 83]",cache/1756274554784.png,,,,
72,11,brown,large,rubber,cylinder,"[137, 165, 9.891124725341797]",8291.0,"[93, 115, 82, 100]",cache/1756274338748.png,,,,
73,11,red,large,rubber,cube,"[275, 223, 8.221695899963379]",13071.0,"[226, 162, 105, 124]",cache/1756274338730.png,,,,
74,11,gray,small,rubber,sphere,"[335, 150, 11.208099365234375]",1143.0,"[318, 132, 33, 34]",cache/1756274338753.png,,,,
75,11,red,small,metal,cylinder,"[201, 127, 12.233399391174316]",1238.0,"[184, 107, 31, 39]",cache/1756274338743.png,,,,
76,11,red,small,metal,cube,"[408, 171, 10.397943496704102]",2219.0,"[385, 145, 43, 50]",cache/1756274338738.png,,,,
77,12,brown,large,metal,cylinder,"[140, 183, 9.260184288024902]",9533.0,"[94, 129, 87, 108]",cache/1756274279830.png,,,,
78,12,purple,large,metal,cylinder,"[274, 79, 14.120064735412598]",3666.0,"[247, 45, 54, 66]",cache/1756274279825.png,,,,
79,12,red,large,rubber,cube,"[384, 158, 10.0853271484375]",11534.0,"[331, 106, 108, 106]",cache/1756274279819.png,,,,
80,13,cyan,small,metal,cylinder,"[294, 192, 9.87325668334961]",2031.0,"[273, 166, 39, 51]",cache/1756274388651.png,,,,
81,13,purple,large,metal,cube,"[154, 106, 12.779004096984863]",6420.0,"[112, 66, 80, 80]",cache/1756274388624.png,,,,
82,13,blue,large,metal,sphere,"[217, 121, 11.959074974060059]",3894.0,"[185, 89, 61, 63]",cache/1756274388629.png,,,,
83,13,gray,small,rubber,cube,"[173, 224, 8.941010475158691]",3629.0,"[143, 193, 57, 63]",cache/1756274388635.png,,,,
84,13,red,small,metal,cube,"[91, 158, 11.115487098693848]",1827.0,"[68, 135, 41, 43]",cache/1756274388617.png,,,,
85,13,gray,large,metal,cylinder,"[314, 131, 11.5048828125]",5878.0,"[280, 88, 69, 84]",cache/1756274388645.png,,,,
86,13,red,small,rubber,sphere,"[386, 174, 10.513261795043945]",1309.0,"[368, 155, 36, 36]",cache/1756274388640.png,,,,
87,14,brown,small,rubber,cylinder,"[387, 138, 10.956870079040527]",1715.0,"[367, 115, 38, 44]",cache/1756274438491.png,,,,
88,14,green,large,rubber,cylinder,"[221, 74, 13.705049514770508]",3770.0,"[192, 40, 55, 67]",cache/1756274438486.png,,,,
89,14,purple,small,rubber,cube,"[122, 183, 9.238139152526855]",2884.0,"[97, 154, 50, 57]",cache/1756274438481.png,,,,
90,15,gray,large,metal,cylinder,"[276, 86, 13.340664863586426]",4222.0,"[247, 50, 58, 72]",cache/1756274355225.png,,,,
91,15,red,large,metal,sphere,"[205, 106, 12.304265975952148]",3671.0,"[174, 74, 60, 61]",cache/1756274355202.png,,,,
92,15,red,small,metal,sphere,"[97, 137, 11.686795234680176]",855.0,"[79, 121, 26, 32]",cache/1756274355232.png,,,,
93,15,yellow,small,rubber,cube,"[151, 217, 9.134238243103027]",3552.0,"[121, 186, 57, 61]",cache/1756274355218.png,,,,
94,15,gray,large,rubber,sphere,"[130, 153, 10.352129936218262]",5335.0,"[91, 117, 73, 72]",cache/1756274355212.png,,,,
95,15,gray,small,metal,cube,"[228, 86, 14.286712646484375]",3671.0,"[174, 74, 60, 61]",cache/1756274355202.png,,,,
96,16,red,small,rubber,cylinder,"[354, 133, 11.937519073486328]",1435.0,"[336, 112, 34, 41]",cache/1756274432005.png,,,,
97,16,blue,small,rubber,sphere,"[198, 210, 9.298019409179688]",1656.0,"[177, 189, 40, 41]",cache/1756274431997.png,,,,
98,16,brown,small,metal,cylinder,"[159, 110, 13.030288696289062]",1138.0,"[143, 91, 30, 36]",cache/1756274432009.png,,,,
99,17,red,large,rubber,sphere,"[173, 123, 11.167829513549805]",4435.0,"[139, 88, 66, 66]",cache/1756274391909.png,,,,
100,17,gray,small,rubber,sphere,"[339, 175, 9.923247337341309]",1424.0,"[320, 155, 37, 38]",cache/1756274391953.png,,,,
101,17,brown,small,rubber,cylinder,"[224, 112, 12.607991218566895]",1118.0,"[208, 92, 29, 37]",cache/1756274391944.png,,,,
102,17,gray,small,rubber,cylinder,"[264, 207, 8.940597534179688]",2407.0,"[243, 178, 42, 56]",cache/1756274391938.png,,,,
103,17,brown,large,metal,cylinder,"[439, 138, 10.511590957641602]",7633.0,"[397, 92, 81, 93]",cache/1756274391933.png,,,,
104,17,cyan,small,metal,cylinder,"[349, 131, 11.620586395263672]",1479.0,"[331, 110, 35, 42]",cache/1756274391927.png,,,,
105,17,brown,small,metal,cylinder,"[244, 82, 14.440014839172363]",839.0,"[230, 65, 26, 31]",cache/1756274391948.png,,,,
106,17,yellow,small,metal,cylinder,"[173, 242, 8.087613105773926]",3103.0,"[148, 209, 48, 64]",cache/1756274391921.png,,,,
107,17,cyan,large,rubber,cube,"[91, 145, 10.243492126464844]",8552.0,"[46, 96, 86, 99]",cache/1756274391901.png,,,,
108,17,brown,large,rubber,sphere,"[298, 88, 13.023605346679688]",3281.0,"[270, 58, 56, 57]",cache/1756274391915.png,,,,
109,18,red,large,metal,cylinder,"[296, 130, 11.1405029296875]",6084.0,"[261, 87, 70, 86]",cache/1756274410570.png,,,,
110,18,purple,large,metal,cube,"[169, 163, 9.732622146606445]",11467.0,"[113, 110, 105, 108]",cache/1756274410564.png,,,,
111,18,brown,large,metal,sphere,"[256, 101, 12.682575225830078]",3280.0,"[226, 71, 54, 59]",cache/1756274410581.png,,,,
112,18,brown,large,metal,sphere,"[222, 79, 14.218581199645996]",2728.0,"[196, 52, 50, 53]",cache/1756274410586.png,,,,
113,18,cyan,large,metal,cylinder,"[406, 145, 10.453503608703613]",7791.0,"[365, 98, 83, 93]",cache/1756274410575.png,,,,
114,18,cyan,small,rubber,cylinder,"[201, 125, 12.280298233032227]",11467.0,"[113, 110, 105, 108]",cache/1756274410564.png,,,,
115,19,brown,small,metal,cube,"[285, 149, 11.091896057128906]",1622.0,"[266, 126, 36, 44]",cache/1756274367986.png,,,,
116,19,cyan,large,rubber,cylinder,"[202, 190, 8.976110458374023]",9665.0,"[157, 134, 85, 112]",cache/1756274367991.png,,,,
117,19,yellow,large,metal,cube,"[104, 122, 11.468551635742188]",7445.0,"[56, 80, 87, 84]",cache/1756274367997.png,,,,
118,19,green,large,metal,cube,"[232, 76, 14.10226058959961]",4940.0,"[197, 41, 69, 70]",cache/1756274367980.png,,,,
119,20,gray,large,metal,cube,"[137, 168, 9.409281730651855]",12652.0,"[80, 112, 109, 115]",cache/1756274408107.png,,,,
120,20,blue,large,rubber,cube,"[196, 254, 7.211551666259766]",15289.0,"[132, 186, 114, 133]",cache/1756274408100.png,,,,
121,20,cyan,large,metal,cylinder,"[397, 137, 10.531092643737793]",7626.0,"[357, 91, 81, 93]",cache/1756274408134.png,,,,
122,20,cyan,small,metal,cube,"[302, 120, 12.174670219421387]",1422.0,"[284, 100, 36, 39]",cache/1756274408113.png,,,,
123,20,purple,small,rubber,sphere,"[246, 175, 9.881916046142578]",1387.0,"[227, 155, 36, 37]",cache/1756274408139.png,,,,
124,20,blue,small,rubber,sphere,"[338, 210, 8.825568199157715]",1838.0,"[317, 188, 42, 43]",cache/1756274408118.png,,,,
125,20,cyan,large,rubber,cylinder,"[79, 141, 10.382856369018555]",7363.0,"[34, 94, 77, 94]",cache/1756274408128.png,,,,
126,20,green,small,rubber,sphere,"[285, 224, 8.449141502380371]",1962.0,"[262, 202, 43, 44]",cache/1756274408123.png,,,,
127,20,cyan,large,metal,sphere,"[215, 80, 13.593289375305176]",3048.0,"[187, 52, 54, 55]",cache/1756274408093.png,,,,
128,21,yellow,small,metal,cube,"[69, 138, 11.241923332214355]",2096.0,"[46, 115, 45, 46]",cache/1756274324424.png,,,,
129,21,brown,large,metal,cube,"[191, 116, 11.467583656311035]",7773.0,"[147, 72, 87, 88]",cache/1756274324432.png,,,,
130,21,green,large,metal,cylinder,"[342, 183, 8.7390775680542]",10619.0,"[297, 127, 93, 114]",cache/1756274324437.png,,,,
131,21,green,small,metal,cylinder,"[246, 89, 14.202696800231934]",858.0,"[232, 71, 26, 32]",cache/1756274324442.png,,,,
132,22,green,large,rubber,cube,"[73, 138, 10.918930053710938]",8183.0,"[23, 94, 92, 88]",cache/1756274518000.png,,,,
133,22,brown,large,rubber,sphere,"[251, 179, 9.491360664367676]",6171.0,"[211, 139, 77, 79]",cache/1756274518013.png,,,,
134,22,blue,large,metal,sphere,"[227, 95, 12.981565475463867]",3297.0,"[198, 65, 56, 57]",cache/1756274518019.png,,,,
135,22,yellow,large,metal,cube,"[289, 84, 13.644170761108398]",4500.0,"[258, 49, 64, 69]",cache/1756274518008.png,,,,
136,22,cyan,small,rubber,cylinder,"[337, 114, 12.833531379699707]",1193.0,"[320, 94, 31, 37]",cache/1756274518023.png,,,,
137,23,yellow,small,metal,sphere,"[138, 207, 9.275372505187988]",1628.0,"[117, 186, 40, 40]",cache/1756274374040.png,,,,
138,23,brown,large,metal,sphere,"[118, 110, 12.030445098876953]",2444.0,"[85, 78, 63, 38]",cache/1756274374053.png,,,,
139,23,green,small,rubber,cube,"[324, 106, 13.097393035888672]",1567.0,"[304, 85, 39, 40]",cache/1756274374025.png,,,,
140,23,brown,large,rubber,sphere,"[285, 170, 9.707223892211914]",5828.0,"[247, 131, 76, 76]",cache/1756274373985.png,,,,
141,23,yellow,small,metal,cylinder,"[213, 144, 11.327401161193848]",1490.0,"[195, 121, 33, 44]",cache/1756274374072.png,,,,
142,23,blue,small,rubber,sphere,"[317, 156, 10.882713317871094]",825.0,"[309, 138, 24, 33]",cache/1756274374083.png,,,,
143,23,brown,large,rubber,cube,"[386, 120, 11.576981544494629]",6533.0,"[350, 77, 76, 85]",cache/1756274373970.png,,,,
144,23,red,small,rubber,sphere,"[246, 235, 8.590048789978027]",1885.0,"[224, 212, 42, 44]",cache/1756274374007.png,,,,
145,23,gray,large,metal,cylinder,"[121, 155, 10.176916122436523]",8011.0,"[77, 107, 82, 97]",cache/1756274374093.png,,,,
146,24,purple,large,metal,cylinder,"[244, 88, 13.277840614318848]",4056.0,"[215, 52, 57, 70]",cache/1756274345640.png,,,,
147,24,yellow,small,metal,cylinder,"[138, 132, 11.742937088012695]",1425.0,"[120, 111, 34, 41]",cache/1756274345629.png,,,,
148,24,gray,large,rubber,sphere,"[341, 125, 11.20700740814209]",4482.0,"[308, 91, 66, 67]",cache/1756274345614.png,,,,
149,24,gray,large,metal,cube,"[283, 176, 9.249300956726074]",12932.0,"[228, 119, 109, 117]",cache/1756274345603.png,,,,
150,24,brown,small,rubber,cube,"[208, 262, 7.672089099884033]",3605.0,"[179, 229, 53, 67]",cache/1756274345596.png,,,,
151,24,blue,large,metal,cube,"[72, 143, 10.432939529418945]",10541.0,"[16, 95, 106, 98]",cache/1756274345585.png,,,,
152,25,cyan,small,metal,cylinder,"[322, 112, 13.27563190460205]",1022.0,"[308, 93, 28, 35]",cache/1756274449632.png,,,,
153,25,cyan,small,rubber,sphere,"[250, 99, 14.051907539367676]",703.0,"[236, 85, 26, 26]",cache/1756274449619.png,,,,
154,25,yellow,small,rubber,cube,"[155, 169, 10.670724868774414]",2083.0,"[131, 144, 41, 50]",cache/1756274449643.png,,,,
155,25,green,large,metal,cylinder,"[109, 123, 11.822671890258789]",5839.0,"[72, 82, 71, 82]",cache/1756274449607.png,,,,
156,25,gray,large,rubber,sphere,"[297, 139, 11.093290328979492]",4523.0,"[263, 105, 66, 67]",cache/1756274449589.png,,,,
157,25,cyan,large,rubber,cylinder,"[211, 195, 9.15119457244873]",9275.0,"[167, 141, 84, 110]",cache/1756274449598.png,,,,
158,25,gray,large,metal,cylinder,"[202, 108, 12.62131404876709]",4523.0,"[170, 69, 60, 74]",cache/1756274449626.png,,,,
159,26,red,large,rubber,cylinder,"[207, 108, 12.171239852905273]",4893.0,"[174, 69, 62, 77]",cache/1756274601495.png,,,,
160,26,yellow,small,rubber,cylinder,"[70, 138, 11.50539493560791]",1604.0,"[50, 116, 37, 42]",cache/1756274601474.png,,,,
161,26,purple,small,rubber,cylinder,"[163, 166, 10.316987037658691]",1815.0,"[143, 142, 38, 47]",cache/1756274601483.png,,,,
162,26,brown,small,rubber,cube,"[382, 153, 10.85923957824707]",2414.0,"[357, 128, 50, 48]",cache/1756274601469.png,,,,
163,26,red,large,metal,cylinder,"[231, 200, 8.51757526397705]",10597.0,"[185, 142, 90, 117]",cache/1756274601488.png,,,,
164,26,yellow,small,rubber,cylinder,"[420, 142, 11.307682991027832]",1578.0,"[403, 120, 36, 43]",cache/1756274601479.png,,,,
165,26,cyan,small,metal,sphere,"[130, 201, 9.156344413757324]",1701.0,"[108, 180, 41, 41]",cache/1756274601462.png,,,,
166,27,gray,large,rubber,cube,"[241, 115, 11.58044147491455]",6550.0,"[204, 73, 76, 85]",cache/1756274359677.png,,,,
167,27,cyan,large,metal,cylinder,"[148, 110, 11.845210075378418]",5549.0,"[113, 69, 68, 81]",cache/1756274359686.png,,,,
168,27,purple,small,rubber,cube,"[305, 228, 8.392045021057129]",3107.0,"[279, 197, 49, 62]",cache/1756274359649.png,,,,
169,27,cyan,large,rubber,cylinder,"[324, 124, 11.137665748596191]",6367.0,"[288, 80, 72, 87]",cache/1756274359658.png,,,,
170,28,red,large,metal,cube,"[406, 143, 10.534806251525879]",10099.0,"[355, 95, 102, 98]",cache/1756274594656.png,,,,
171,28,purple,large,metal,sphere,"[160, 98, 13.021941184997559]",3302.0,"[130, 68, 57, 57]",cache/1756274594648.png,,,,
172,28,gray,small,rubber,cylinder,"[256, 101, 13.899038314819336]",948.0,"[240, 83, 28, 33]",cache/1756274594689.png,,,,
173,28,brown,large,rubber,cube,"[323, 136, 10.87795352935791]",8056.0,"[279, 90, 86, 93]",cache/1756274594683.png,,,,
174,28,red,small,metal,cube,"[246, 228, 8.39444351196289]",3950.0,"[216, 195, 59, 66]",cache/1756274594636.png,,,,
175,28,purple,large,rubber,sphere,"[62, 124, 11.449843406677246]",4466.0,"[27, 91, 68, 65]",cache/1756274594629.png,,,,
176,28,yellow,large,rubber,sphere,"[170, 194, 8.670038223266602]",7411.0,"[126, 151, 85, 86]",cache/1756274594641.png,,,,
177,28,brown,small,metal,sphere,"[290, 178, 9.945123672485352]",8056.0,"[279, 90, 86, 93]",cache/1756274594683.png,,,,
178,28,blue,small,rubber,cube,"[218, 94, 14.395176887512207]",859.0,"[204, 77, 27, 31]",cache/1756274594668.png,,,,
179,29,yellow,large,metal,cube,"[76, 128, 10.921976089477539]",9585.0,"[23, 83, 101, 94]",cache/1756274599878.png,,,,
180,29,purple,small,metal,cube,"[352, 149, 10.844853401184082]",2230.0,"[328, 125, 46, 48]",cache/1756274599885.png,,,,
181,29,purple,large,rubber,sphere,"[243, 101, 12.393270492553711]",3618.0,"[213, 70, 59, 60]",cache/1756274599891.png,,,,
182,29,gray,small,rubber,sphere,"[286, 103, 13.294471740722656]",777.0,"[272, 88, 27, 28]",cache/1756274599896.png,,,,
183,30,cyan,large,rubber,sphere,"[187, 79, 12.983664512634277]",3363.0,"[158, 48, 57, 58]",cache/1756274399347.png,,,,
184,30,green,large,rubber,sphere,"[338, 102, 11.850370407104492]",3996.0,"[306, 69, 62, 63]",cache/1756274399342.png,,,,
185,30,cyan,large,rubber,cube,"[254, 232, 7.969902038574219]",16037.0,"[194, 164, 115, 138]",cache/1756274399333.png,,,,
186,30,purple,small,metal,cube,"[281, 106, 12.47783374786377]",1432.0,"[263, 85, 35, 39]",cache/1756274399353.png,,,,
187,30,blue,small,rubber,cylinder,"[118, 133, 11.341197967529297]",1625.0,"[98, 110, 37, 43]",cache/1756274399368.png,,,,
188,30,green,small,rubber,sphere,"[428, 154, 10.5982666015625]",1316.0,"[409, 135, 36, 35]",cache/1756274399364.png,,,,
189,30,yellow,small,metal,cube,"[145, 174, 9.97186279296875]",2938.0,"[117, 146, 52, 55]",cache/1756274399358.png,,,,
190,30,cyan,small,rubber,sphere,"[215, 186, 9.628753662109375]",16037.0,"[194, 164, 115, 138]",cache/1756274399333.png,,,,
191,31,yellow,small,rubber,sphere,"[368, 187, 9.459551811218262]",1578.0,"[347, 167, 40, 39]",cache/1756274613649.png,,,,
192,31,blue,small,rubber,cube,"[191, 104, 12.563279151916504]",1418.0,"[173, 83, 35, 39]",cache/1756274613667.png,,,,
193,31,blue,large,metal,cylinder,"[98, 114, 11.30322265625]",6596.0,"[58, 70, 76, 86]",cache/1756274613639.png,,,,
194,31,red,small,rubber,cylinder,"[251, 115, 12.066559791564941]",1262.0,"[234, 93, 31, 40]",cache/1756274613658.png,,,,
195,31,gray,large,metal,cube,"[405, 123, 10.916723251342773]",9124.0,"[358, 77, 99, 92]",cache/1756274613630.png,,,,
196,31,green,small,rubber,cube,"[212, 167, 10.060208320617676]",2178.0,"[189, 141, 43, 50]",cache/1756274613663.png,,,,
197,31,green,small,rubber,sphere,"[291, 153, 10.520496368408203]",1234.0,"[273, 135, 34, 35]",cache/1756274613644.png,,,,
198,31,cyan,small,rubber,cylinder,"[127, 205, 8.997044563293457]",2622.0,"[103, 176, 46, 56]",cache/1756274613653.png,,,,
199,32,cyan,small,metal,cylinder,"[387, 136, 10.900422096252441]",1767.0,"[367, 113, 39, 45]",cache/1756274340625.png,,,,
200,32,green,small,metal,cube,"[219, 232, 7.904347896575928]",3621.0,"[190, 198, 54, 66]",cache/1756274340596.png,,,,
201,32,green,small,metal,cylinder,"[279, 210, 8.426186561584473]",2756.0,"[256, 180, 45, 60]",cache/1756274340621.png,,,,
202,32,gray,small,rubber,cylinder,"[118, 183, 9.187455177307129]",2462.0,"[94, 156, 45, 54]",cache/1756274340630.png,,,,
203,32,brown,large,rubber,cylinder,"[205, 86, 12.602994918823242]",4545.0,"[173, 48, 60, 74]",cache/1756274340616.png,,,,
204,32,yellow,large,rubber,sphere,"[88, 134, 10.150304794311523]",5635.0,"[49, 96, 75, 74]",cache/1756274340604.png,,,,
