image_index,area,box,color,size,material,label
684,905,147-29-29-35,gray,small,rubber,cube
684,2044,34-59-44-51,gray,large,metal,cube
956,1066,149-33-34-39,green,small,metal,cube
956,1768,171-51-42-49,purple,large,rubber,cube
956,1952,87-89-48-48,gray,large,metal,sphere
956,1712,107-60-44-52,yellow,large,rubber,sphere
956,1065,66-53-35-37,brown,small,rubber,sphere
581,1497,77-26-45-48,purple,large,rubber,cube
581,1115,78-35-30-38,purple,small,rubber,cube
581,501,65-78-21-25,gray,small,rubber,cube
581,452,171-39-33-19,purple,small,rubber,cube
581,701,138-90-31-29,gray,small,rubber,cube
581,2102,152-50-51-50,yellow,large,rubber,cube
581,1661,110-44-41-45,blue,large,metal,cube
343,1005,74-35-29-37,brown,small,rubber,cube
343,1513,23-45-41-40,gray,large,rubber,cube
343,2111,125-65-47-54,cyan,large,rubber,cube
343,1175,163-50-35-43,red,small,rubber,cylinder
188,1079,24-37-35-40,brown,small,rubber,cylinder
188,398,172-76-19-23,brown,small,metal,cube
188,1245,97-77-38-39,green,small,rubber,sphere
188,1082,113-34-29-38,purple,small,rubber,cube
397,915,80-27-28-34,green,small,metal,cube
397,1533,22-37-45-41,gray,large,rubber,cube
397,441,90-76-18-23,purple,small,rubber,cube
397,693,148-36-28-29,gray,small,metal,sphere
397,1308,117-77-40-39,gray,large,rubber,sphere
536,936,80-111-29-35,brown,small,rubber,cube
536,601,165-90-23-29,purple,small,rubber,cube
536,1118,108-17-36-35,yellow,small,rubber,cube
659,1202,93-39-32-40,cyan,small,rubber,cube
659,1179,132-63-38-38,purple,small,metal,sphere
764,666,92-35-27-28,cyan,small,rubber,sphere
764,537,78-80-24-26,cyan,small,rubber,sphere
764,1104,133-25-34-37,brown,small,rubber,cube
764,416,60-73-20-22,green,small,rubber,cube
764,1670,21-42-47-46,gray,large,rubber,cube
850,1137,63-29-38-38,green,small,rubber,cube
850,701,76-105-25-30,red,small,rubber,cube
850,725,126-36-29-30,purple,small,rubber,sphere
850,2285,146-63-50-58,cyan,large,rubber,cube
850,1164,39-63-38-37,cyan,small,metal,sphere
146,1285,26-39-36-40,gray,small,rubber,cylinder
146,696,93-111-23-32,red,small,rubber,cube
146,465,145-80-19-25,purple,small,rubber,cube
146,450,163-66-22-24,cyan,small,rubber,cube
146,1022,111-21-33-39,gray,small,rubber,cube
873,744,59-30-30-29,cyan,small,rubber,sphere
873,441,29-53-23-22,gray,small,rubber,cube
873,835,70-108-28-35,blue,small,rubber,cube
873,583,99-91-22-28,cyan,small,rubber,cube
873,342,129-49-21-21,blue,small,rubber,cube
873,1531,165-67-44-42,cyan,large,metal,sphere
654,925,76-26-28-35,cyan,small,rubber,cube
654,1042,154-30-31-37,cyan,small,rubber,cube
654,1634,29-52-40-47,blue,large,rubber,sphere
654,1767,131-69-42-55,yellow,large,rubber,cylinder
654,3423,81-86-62-71,red,large,metal,cube
757,1140,49-35-32-39,brown,small,rubber,cube
757,508,67-91-20-27,green,small,metal,cube
757,982,126-23-31-34,cyan,small,metal,cylinder
757,531,164-77-25-26,cyan,small,rubber,sphere
757,710,127-110-23-30,green,small,metal,cube
757,826,96-45-31-32,red,small,metal,sphere
863,946,123-21-28-34,cyan,small,rubber,cube
863,475,69-68-22-24,yellow,small,rubber,cube
676,314,103-86-23-26,brown,small,rubber,cube
676,394,120-61-21-22,yellow,small,rubber,cube
676,389,158-52-21-22,cyan,small,rubber,cube
676,673,154-96-24-28,yellow,small,rubber,cube
676,425,135-75-19-24,blue,small,rubber,cube
676,472,203-66-24-25,green,small,rubber,cube
676,2104,73-87-53-53,brown,large,metal,sphere
985,416,28-58-22-23,red,small,rubber,cube
985,1676,185-48-42-47,cyan,large,rubber,cylinder
985,1345,116-71-40-41,cyan,large,rubber,sphere
382,795,81-33-31-31,red,small,metal,sphere
382,1785,151-38-45-45,brown,large,rubber,cube
382,433,207-62-22-23,cyan,small,rubber,cube
382,577,117-76-23-27,yellow,small,rubber,cube
382,3206,24-64-63-63,green,large,rubber,cube
187,1254,184-43-36-39,green,small,rubber,cube
170,2449,126-77-45-60,green,large,rubber,sphere
170,2055,57-64-43-54,red,large,rubber,cylinder
170,1705,169-55-40-49,purple,large,rubber,cylinder
170,392,102-71-17-23,cyan,small,rubber,cube
170,1448,199-44-40-47,green,large,rubber,cube
249,784,89-47-31-31,cyan,small,metal,sphere
249,473,165-87-22-25,purple,small,rubber,cube
975,821,73-49-33-34,yellow,small,rubber,sphere
975,1293,125-40-33-42,blue,small,rubber,cube
975,686,151-95-25-28,blue,small,rubber,cube
975,1343,90-68-40-41,green,large,metal,sphere
975,413,41-69-20-23,yellow,small,rubber,cube
161,610,80-50-30-32,cyan,small,metal,sphere
161,471,93-89-19-25,gray,small,metal,cube
161,1431,127-82-42-42,brown,large,rubber,sphere
161,1717,147-53-49-50,green,large,rubber,cube
161,585,109-32-26-26,purple,small,metal,sphere
161,710,65-50-45-32,cyan,small,rubber,sphere
161,1412,16-49-37-44,green,large,rubber,cube
161,1706,53-60-39-48,green,large,rubber,cylinder
782,1298,44-38-35-41,gray,small,rubber,cube
782,1568,201-45-38-46,green,large,rubber,sphere
782,1333,96-33-36-39,green,large,rubber,cube
224,2144,105-64-42-56,purple,large,rubber,cylinder
224,401,41-67-19-23,red,small,metal,cube
224,1814,148-43-47-48,cyan,large,rubber,cube
915,1437,69-74-41-42,cyan,large,rubber,sphere
915,902,147-44-33-33,blue,small,rubber,sphere
915,1533,102-34-41-43,purple,large,rubber,cube
915,537,178-69-26-25,gray,small,rubber,cube
81,600,83-29-26-27,blue,small,rubber,sphere
81,326,48-49-33-16,blue,small,rubber,cube
81,1090,155-34-32-37,blue,small,rubber,cylinder
81,2510,115-79-46-60,purple,large,rubber,cylinder
81,524,112-23-24-25,red,small,rubber,sphere
81,1923,44-61-42-52,green,large,rubber,sphere
456,765,97-116-23-32,yellow,small,rubber,cube
456,1910,119-64-40-52,cyan,large,rubber,cylinder
456,492,188-71-26-24,purple,small,rubber,cube
456,1017,136-47-41-41,purple,small,rubber,cube
337,1093,90-42-34-40,red,small,rubber,cube
337,553,165-78-26-26,cyan,small,rubber,cube
337,1885,109-64-39-51,gray,large,rubber,cylinder
401,1202,56-32-33-39,purple,small,rubber,cube
401,2991,131-70-56-61,green,large,metal,cube
401,1722,178-54-42-52,blue,large,rubber,sphere
425,334,151-92-20-20,green,small,metal,sphere
425,452,112-65-23-22,gray,small,metal,cube
96,454,67-75-19-24,purple,small,rubber,cube
96,1066,103-21-35-34,brown,small,rubber,cube
96,1893,167-58-43-51,red,large,rubber,cylinder
96,472,127-66-23-25,green,small,rubber,cube
913,1076,41-42-33-40,green,small,rubber,cylinder
913,879,188-51-34-32,green,small,rubber,sphere
913,469,138-83-23-26,green,small,rubber,sphere
913,1556,103-92-43-44,red,large,metal,sphere
913,1055,63-64-36-36,green,small,rubber,sphere
47,758,114-20-25-31,green,small,rubber,cube
47,2002,72-69-41-53,cyan,large,rubber,cylinder
47,2324,175-45-48-59,purple,large,metal,sphere
217,897,75-26-28-34,cyan,small,rubber,cube
217,1270,84-78-39-39,purple,small,rubber,sphere
217,511,58-77-24-25,red,small,rubber,cube
217,829,170-47-31-31,green,small,rubber,sphere
217,533,115-25-24-26,brown,small,rubber,sphere
217,555,139-102-21-28,green,small,rubber,cube
103,1837,116-70-39-50,gray,large,rubber,cylinder
103,1281,16-46-37-41,yellow,small,rubber,sphere
586,710,68-47-32-27,gray,small,rubber,sphere
586,435,42-77-20-24,green,small,metal,cube
586,2190,71-71-43-56,yellow,large,rubber,cylinder
586,1268,154-69-39-39,red,small,metal,sphere
359,427,26-62-21-21,blue,small,rubber,cube
359,573,75-90-22-28,cyan,small,rubber,cube
359,1204,142-36-33-41,yellow,small,rubber,cube
359,1115,106-55-36-37,brown,small,rubber,sphere
359,2156,165-59-46-54,purple,large,rubber,cylinder
173,1625,77-85-44-45,green,large,metal,sphere
173,1432,138-35-43-39,purple,large,rubber,cube
173,595,178-78-28-27,red,small,rubber,cube
173,962,111-17-35-34,blue,small,rubber,cube
173,1349,134-71-40-40,green,large,metal,sphere
569,1282,42-35-40-40,yellow,small,rubber,cube
569,805,131-27-27-32,purple,small,rubber,cube
569,449,123-89-18-26,brown,small,rubber,cylinder
569,419,71-66-22-23,green,small,rubber,cube
569,1658,162-52-43-48,purple,large,rubber,cube
728,1259,46-31-50-40,blue,small,rubber,cube
728,550,58-91-22-27,purple,small,rubber,cube
728,1263,153-40-34-40,green,small,rubber,cube
728,772,114-22-25-32,green,small,rubber,cube
728,508,182-76-24-26,green,small,rubber,cube
728,362,35-65-18-22,gray,small,rubber,cube
494,1539,2-42-45-43,blue,large,rubber,cube
494,1404,113-39-39-41,purple,large,rubber,cube
494,2671,42-71-56-58,red,large,rubber,cube
785,817,93-23-26-32,brown,small,rubber,cube
785,902,142-29-30-36,yellow,small,rubber,cube
785,606,138-97-22-30,blue,small,rubber,cylinder
785,1974,162-47-50-49,red,large,rubber,sphere
868,1029,75-34-31-38,green,small,rubber,cube
868,548,56-79-24-25,green,small,rubber,cube
868,1646,102-48-37-46,blue,large,metal,cube
365,752,32-40-34-30,green,small,rubber,cube
365,669,121-106-23-31,cyan,small,rubber,cylinder
365,2093,142-52-51-50,green,large,rubber,sphere
365,1982,36-62-44-51,red,large,rubber,cylinder
365,568,103-93-24-28,cyan,small,rubber,cube
365,2746,32-40-48-73,red,large,rubber,cylinder
285,857,85-42-32-32,blue,small,rubber,sphere
285,749,154-35-30-30,brown,small,metal,sphere
285,1473,147-76-43-42,yellow,large,metal,sphere
285,1213,56-64-38-38,purple,small,rubber,sphere
399,412,133-59-22-21,blue,small,rubber,cube
399,2787,103-80-48-64,cyan,large,rubber,cylinder
399,1064,97-33-30-38,brown,small,rubber,cube
121,464,63-83-19-25,red,small,rubber,cube
121,987,137-33-31-37,blue,small,rubber,cylinder
121,1064,156-58-36-35,blue,small,rubber,sphere
121,455,86-40-29-20,purple,small,metal,sphere
562,564,88-30-25-26,yellow,small,rubber,sphere
562,434,93-112-23-23,green,small,metal,sphere
562,658,126-36-27-28,red,small,rubber,sphere
562,2454,91-63-53-57,purple,large,rubber,cube
274,1009,88-34-35-37,cyan,small,rubber,cube
274,376,79-60-20-21,red,small,rubber,cube
274,582,128-27-28-23,yellow,small,metal,cube
274,504,155-75-26-25,purple,small,rubber,cube
274,1631,100-91-44-46,cyan,large,metal,sphere
274,1704,116-46-64-46,purple,large,rubber,cube
274,1694,116-46-44-46,purple,large,rubber,cube
579,1310,121-28-39-40,purple,large,rubber,cube
579,986,188-51-35-34,purple,small,metal,sphere
686,1210,54-40-34-39,yellow,small,rubber,cube
686,428,38-75-20-23,gray,small,metal,cube
686,660,61-93-26-27,yellow,small,rubber,cube
686,370,178-64-19-21,yellow,small,rubber,cube
686,853,149-36-35-38,cyan,small,rubber,cube
686,465,123-82-19-25,green,small,rubber,cube
243,962,21-46-35-33,green,small,metal,sphere
243,1685,57-79-45-45,cyan,large,metal,sphere
243,693,139-40-31-26,yellow,small,metal,sphere
243,506,183-79-22-26,purple,small,metal,cube
243,1046,98-115-34-39,green,small,rubber,sphere
243,380,190-65-24-23,blue,small,rubber,cube
243,2539,127-65-48-58,green,large,metal,cube
282,794,55-40-32-31,purple,small,metal,sphere
282,953,125-48-34-35,cyan,small,metal,sphere
282,2838,76-68-53-62,gray,large,rubber,cylinder
282,1316,155-64-40-39,cyan,large,metal,sphere
282,169,69-67-21-22,gray,small,rubber,cube
580,1086,136-59-39-50,green,small,rubber,cube
580,2788,112-79-50-63,red,large,metal,cube
580,1076,81-87-34-47,gray,small,rubber,sphere
378,616,52-92-23-29,gray,small,rubber,cube
378,902,154-42-33-32,blue,small,rubber,sphere
378,343,156-85-20-20,red,small,rubber,sphere
378,1902,189-50-45-50,gray,large,rubber,cylinder
378,2119,102-92-50-52,cyan,large,metal,sphere
378,1208,66-59-38-38,brown,small,rubber,sphere
378,1776,22-41-46-48,purple,large,rubber,cube
254,934,36-39-40-32,yellow,small,rubber,cube
254,2505,79-82-45-61,brown,large,rubber,cylinder
254,994,118-56-35-35,brown,small,metal,sphere
254,1767,182-44-49-46,green,large,rubber,cube
254,2098,38-61-54-56,red,large,rubber,sphere
79,1347,47-63-41-40,red,large,metal,sphere
79,422,155-67-20-23,green,small,rubber,cube
105,1423,67-39-36-40,brown,large,rubber,cube
105,547,101-23-25-26,purple,small,rubber,sphere
105,1110,153-32-31-38,red,small,rubber,cylinder
105,545,130-28-24-27,red,small,metal,sphere
105,571,120-86-21-26,blue,small,rubber,cube
105,435,188-67-21-24,yellow,small,rubber,cube
105,1128,134-32-50-38,red,small,rubber,cylinder
739,645,78-28-28-28,cyan,small,rubber,sphere
739,736,74-96-29-31,green,small,rubber,cube
739,483,133-88-20-27,cyan,small,rubber,sphere
739,667,116-108-23-31,purple,small,rubber,sphere
739,1687,97-53-37-48,red,large,rubber,cylinder
739,1597,181-47-41-45,green,large,rubber,cylinder
203,745,33-40-30-29,yellow,small,rubber,sphere
203,838,125-24-26-33,green,small,rubber,cube
203,329,153-49-21-19,gray,small,rubber,cube
203,393,104-62-19-21,cyan,small,rubber,sphere
124,2588,107-86-47-62,cyan,large,rubber,cylinder
124,1738,65-57-39-50,brown,large,rubber,cylinder
95,1307,14-41-37-41,purple,large,rubber,cube
95,1701,76-95-45-46,cyan,large,metal,sphere
95,583,55-87-24-27,purple,small,rubber,cube
95,1341,189-41-37-42,yellow,large,rubber,cylinder
95,1443,133-83-42-41,yellow,large,metal,sphere
95,458,163-65-24-23,yellow,small,rubber,cube
95,1355,164-41-62-42,yellow,large,rubber,sphere
389,483,88-74-21-25,purple,small,rubber,cube
389,511,61-83-21-25,red,small,rubber,cube
389,363,191-64-19-21,blue,small,metal,cube
389,513,117-21-24-30,green,small,metal,cube
389,2499,124-74-46-60,cyan,large,rubber,cylinder
389,1079,101-35-30-37,green,small,rubber,cube
596,2696,124-70-53-58,gray,large,rubber,cube
127,1401,70-42-35-44,cyan,large,rubber,cylinder
127,863,95-28-29-38,purple,small,rubber,cube
127,534,51-92-22-27,blue,small,rubber,cube
127,2045,182-48-52-48,green,large,rubber,sphere
127,1512,127-61-40-52,blue,large,rubber,cube
127,2990,101-94-50-65,gray,large,rubber,cylinder
647,673,67-29-28-29,green,small,rubber,sphere
647,572,73-73-25-26,yellow,small,rubber,sphere
647,1423,112-68-41-41,gray,large,metal,sphere
153,554,121-27-26-28,green,small,rubber,sphere
153,1128,141-36-33-41,blue,small,rubber,cylinder
153,2096,160-49-45-68,blue,large,rubber,sphere
758,393,137-106-20-21,brown,small,rubber,sphere
758,2163,46-67-45-55,purple,large,rubber,cylinder
758,1104,100-58-36-37,green,small,metal,sphere
758,439,164-65-20-22,brown,small,metal,cube
791,1494,70-37-42-43,blue,large,rubber,sphere
791,2814,112-75-57-63,brown,large,rubber,cube
884,1424,57-68-42-41,brown,large,metal,sphere
12,814,123-23-27-32,purple,small,rubber,cube
12,2118,166-54-53-51,red,large,rubber,sphere
12,2006,47-65-43-53,brown,large,rubber,sphere
437,1342,64-33-35-39,red,large,rubber,cube
437,824,130-25-35-35,gray,small,rubber,cube
437,402,39-67-19-23,brown,small,rubber,cube
818,1660,36-41-47-45,purple,large,rubber,cube
818,1361,61-76-41-41,cyan,large,metal,sphere
818,2404,108-77-44-60,green,large,metal,sphere
818,1122,128-54-37-47,cyan,small,rubber,cube
818,1675,36-41-54-74,purple,large,rubber,cube
70,782,117-21-25-31,purple,small,rubber,cube
70,496,188-74-23-23,gray,small,rubber,cube
70,2695,95-84-47-63,blue,large,rubber,cylinder
70,1918,61-59-51-55,blue,large,rubber,cube
357,1206,73-35-32-39,cyan,small,metal,cube
357,1288,48-74-40-40,green,small,metal,sphere
357,561,89-101-21-29,green,small,rubber,cube
357,1247,170-40-35-40,yellow,small,rubber,cylinder
357,1290,111-31-38-39,yellow,small,rubber,cube
990,735,55-40-29-30,purple,small,rubber,sphere
990,1464,84-42-36-43,purple,large,rubber,cube
990,500,61-75-23-24,green,small,rubber,cube
990,490,89-128-23-25,purple,small,rubber,sphere
990,1045,155-31-31-37,red,small,rubber,cylinder
990,1375,118-79-40-41,brown,large,rubber,sphere
990,1991,181-51-50-46,yellow,large,rubber,cube
743,1404,82-32-40-41,cyan,large,rubber,cube
743,1201,130-41-34-42,cyan,small,rubber,cylinder
743,1932,153-65-42-53,brown,large,rubber,cylinder
743,1645,30-53-41-48,brown,large,rubber,cylinder
584,720,68-39-29-29,green,small,rubber,sphere
584,749,101-21-25-32,purple,small,metal,cylinder
584,633,122-33-27-27,green,small,metal,sphere
584,1449,136-82-42-42,purple,large,rubber,sphere
584,352,173-79-18-24,green,small,rubber,cube
895,1011,64-38-39-39,purple,small,rubber,cube
895,3048,62-83-60-67,brown,large,rubber,cube
895,778,154-46-31-30,red,small,metal,sphere
895,1275,137-78-39-39,brown,small,metal,sphere
895,1491,88-47-40-44,brown,large,rubber,cube
968,741,39-39-30-29,purple,small,metal,sphere
968,500,66-94-20-26,blue,small,rubber,cube
968,624,115-112-22-31,brown,small,rubber,cube
968,425,172-80-19-24,purple,small,rubber,cube
968,1721,118-45-45-47,blue,large,rubber,cube
854,1427,22-43-38-43,yellow,large,rubber,cylinder
854,400,128-27-24-26,brown,small,rubber,cube
854,713,140-37-29-29,green,small,metal,sphere
854,593,114-87-22-27,green,small,metal,cube
854,532,74-73-24-25,yellow,small,rubber,cube
954,897,23-47-34-33,brown,small,metal,sphere
954,1249,81-38-38-41,green,small,rubber,cube
954,429,65-32-25-27,green,small,metal,sphere
954,1160,143-34-32-38,purple,small,metal,cube
954,536,120-94-20-28,gray,small,rubber,cube
954,1925,54-61-42-52,yellow,large,rubber,sphere
954,1757,172-45-46-47,cyan,large,rubber,cube
213,592,119-27-26-27,purple,small,metal,sphere
213,1656,82-48-40-45,cyan,large,rubber,cylinder
950,1274,75-33-38-38,cyan,small,rubber,cube
950,816,146-44-30-32,gray,small,rubber,sphere
950,690,132-95-28-31,green,small,rubber,sphere
950,452,172-81-20-25,red,small,rubber,cube
950,955,111-26-32-34,red,small,rubber,cube
683,680,84-39-28-28,purple,small,rubber,sphere
683,1608,31-53-40-47,brown,large,rubber,cylinder
683,2209,133-71-44-56,green,large,rubber,cylinder
683,1537,188-51-40-44,purple,large,rubber,cube
683,1843,166-51-62-44,purple,large,rubber,cube
56,603,90-29-26-27,red,small,rubber,sphere
56,440,104-110-22-23,brown,small,rubber,sphere
56,847,171-37-39-39,blue,small,rubber,cube
56,358,127-93-20-20,red,small,rubber,sphere
56,1884,154-51-42-48,cyan,large,metal,cylinder
192,671,79-34-28-28,purple,small,rubber,sphere
192,823,85-113-29-33,green,small,rubber,sphere
192,278,68-117-19-24,gray,small,rubber,cube
192,542,123-26-24-25,purple,small,rubber,sphere
192,800,147-35-32-38,brown,small,rubber,cylinder
192,1465,163-47-38-44,purple,large,rubber,cylinder
192,591,29-63-27-30,purple,small,rubber,cube
192,605,28-60-43-33,purple,small,rubber,cube
531,822,89-45-31-31,purple,small,rubber,sphere
531,610,127-86-25-28,brown,small,rubber,cube
531,579,111-31-27-28,green,small,rubber,sphere
685,1160,55-37-32-39,yellow,small,rubber,cube
685,2454,138-70-50-54,red,large,rubber,cylinder
685,1110,168-53-38-47,blue,small,rubber,cube
34,1679,154-52-40-45,gray,large,metal,cylinder
34,897,104-33-28-35,green,small,rubber,cube
532,628,155-95-23-29,cyan,small,rubber,cube
532,1504,40-71-41-43,cyan,large,rubber,sphere
532,1653,127-51-40-50,cyan,large,rubber,cylinder
532,3491,82-77-58-70,cyan,large,metal,cylinder
843,889,78-106-31-35,yellow,small,metal,cube
843,523,103-92-21-28,blue,small,rubber,sphere
843,428,179-71-21-24,blue,small,rubber,cube
874,741,60-30-31-28,yellow,small,rubber,cube
874,988,202-51-35-33,cyan,small,metal,sphere
874,906,116-25-28-34,red,small,rubber,cylinder
874,1193,143-32-34-40,gray,small,rubber,cube
874,3244,81-81-59-68,green,large,rubber,sphere
874,1789,57-53-50-53,brown,large,rubber,cube
874,758,59-30-32-51,yellow,small,rubber,cube
8,380,24-56-22-21,gray,small,rubber,cube
8,626,56-89-25-30,purple,small,rubber,cube
8,897,191-45-34-33,purple,small,metal,sphere
8,763,107-95-29-32,yellow,small,rubber,cube
8,661,114-21-26-31,yellow,small,rubber,cube
8,1274,95-21-44-38,yellow,small,metal,sphere
927,687,77-30-29-29,blue,small,metal,sphere
927,661,133-26-27-28,red,small,metal,sphere
927,1992,111-56-41-53,yellow,large,rubber,cube
927,1931,174-51-45-51,yellow,large,rubber,cylinder
927,1692,44-31-61-62,cyan,large,rubber,cylinder
927,1682,44-46-40-47,blue,large,rubber,cylinder
379,950,4-48-35-33,green,small,rubber,sphere
379,359,44-51-20-20,yellow,small,rubber,cube
379,440,84-113-22-23,blue,small,rubber,sphere
379,619,69-92-27-30,yellow,small,rubber,cube
379,435,50-78-19-24,brown,small,rubber,cube
379,1437,191-43-40-43,cyan,large,rubber,sphere
379,1034,93-26-36-34,red,small,rubber,cube
379,2068,107-50-49-51,gray,large,rubber,sphere
379,972,4-48-60-33,green,small,rubber,sphere
379,1453,171-43-60-43,cyan,large,rubber,sphere
559,339,179-61-19-22,purple,small,metal,cube
559,494,198-74-23-25,cyan,small,rubber,cube
559,512,171-79-21-27,blue,small,rubber,cube
559,873,105-18-27-33,red,small,rubber,cube
559,449,123-103-22-23,red,small,metal,sphere
559,2458,12-41-60-55,gray,large,rubber,sphere
559,715,48-84-29-30,yellow,small,rubber,cube
725,1466,82-32-35-53,cyan,large,rubber,cylinder
725,367,53-95-20-21,gray,small,rubber,sphere
725,351,188-59-18-22,purple,small,rubber,cube
725,949,105-18-34-36,blue,small,rubber,cube
725,1908,134-63-42-55,purple,large,rubber,cylinder
725,792,125-106-29-32,gray,small,metal,sphere
936,867,66-44-33-34,cyan,small,rubber,sphere
936,799,95-25-28-36,gray,small,rubber,cube
936,3092,91-64-78-65,red,large,rubber,cube
936,1918,185-47-44-50,blue,large,rubber,cube
936,1190,113-43-46-43,cyan,small,rubber,cube
595,888,13-50-34-32,brown,small,rubber,sphere
595,898,79-27-28-35,green,small,rubber,cube
595,430,104-121-22-23,yellow,small,rubber,sphere
595,614,88-99-25-30,yellow,small,rubber,cube
595,1322,176-39-45-42,blue,large,rubber,cube
595,1185,114-29-36-38,purple,small,rubber,cube
595,1797,152-61-41-50,brown,large,rubber,cylinder
208,592,84-98-22-29,green,small,rubber,cube
208,1449,28-43-38-44,purple,large,rubber,cylinder
465,1132,150-34-32-38,brown,small,rubber,cube
465,836,126-22-27-34,yellow,small,rubber,cube
465,514,72-78-24-24,green,small,rubber,cube
623,597,82-34-27-28,cyan,small,metal,sphere
623,483,53-83-22-26,green,small,rubber,cube
623,375,35-74-18-23,red,small,rubber,cube
623,1169,154-36-33-37,blue,small,metal,cylinder
623,497,149-93-20-26,purple,small,metal,cube
